"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jornada.Mogollon.Brown.Ware","Little.Colorado.White.Ware","Lower.Colorado.Buff.Ware","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Salado.Series","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware"
"Hodges Ruin",0,0,0,0,0,0,0,0,0,0,2.14,0.71,0.56,0,0,0,0,135.71,0
"Romero Ruin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.06,0
"Los Morteros",0,0,0,1.95,0,0,0,0,0,0,3.11,0,0,0,0,0,0,3166.71,0
"Casa Buena",0,0,0,0,0,0,0,0,0,0,66.14,0,0,0,0,0,0,0,0
"Kuykendall",0,10.96,0,0,2.39,0,289.19,0,0,0,0,0,0,0,0,0,0,0.88,0
"Curtis Ruin(Buena Vista)",0,0,0,0.92,2.46,0,0,0,0,0,2.35,2.18,0,0,0,0,0,0,0
"Drip",0,0,0,0,0,0,0,0,27.66,0,20.12,0,0,0,0,0,0,0.71,0
"Twin Towers",0,0,16.35,2.07,5.05,0,0,0,0,248.51,0,0,0,0,0,0,10.7,0,0.95
"North Mesa",0,0,0,0,0,0,0,25.33,0,0,0,0,0,0,0,0,1.82,0,27.15
"Juniper Terrace",0,0,0,0,0,0,0,141.51,0,0,0,0,0.71,0,0,0,59,0,272.94
"Cosnino Caves",0,0,0,0,4,0,0,4.12,0,0,0,0,0,0,0,0,7.66,0,50.68
"Two Kivas",0,0,0,0.85,10.7,17,0,260.29,0,0,0,5.79,0,0,0,0,33.39,0,231.27
"Atsee Nitsaa",0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuzigoot",0,0,0,1.78,0.38,0,0,138.2,0,0,0,0,90.17,0,0,5.09,16.11,0,63.2
"Roosevelt 9:13",0,0,0,4.19,0.41,0,0,2,0,0,0,2.23,0,0,0,0,0,0.4,0
"Earven Flat Site",0,0,0,16.18,0.97,0,0,0,0,0,32.27,18.17,0,0,0,0,0,0,0
"Danson 481",0,0,0,1012.7,274.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabid Ruin",0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,209.6,0
"San Xavier Bridge",0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4360.71,0
"Continental Site",0,0,0,0.5,0,0,0,0,0,0,0.26,0,0,0,0,0,0,904.55,0
"Cerro Prieto--Santa Cruz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.89,0
"Omawovi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,42.54
"Paaqapa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,0,99.64
"LA 76368",0,0,0,32.71,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 7085",0,0,8.63,1.84,0,0,0,0,0,5.05,0,0,0,0,0,0,0.23,0,0
"LA 7791",0,0,11.07,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0
"LA 8532",0,0,27.33,0,12.84,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0
"Yuma Wash--Tucson",0,0,0,4.45,0,0,0,0,0,0,1.92,0,0,0.03,0,0,0,2893.23,0
"CS165",0,0,0,40.05,52.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CS195",0,0,0,66.07,173.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1232",0,0,0,37.42,31.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1245",0,0,0,10.44,27.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1301",0,0,0,2.9,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1302",0,0,0,3.75,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
